case_id,activity_name,transformed_time,down,yards_gained
2007_01_NE_NYJ_2,run right tackle,01/01/2000 00:49:08,1,11
2007_01_NE_NYJ_2,run,01/01/2000 00:49:37,1,4
2007_01_NE_NYJ_2,run,01/01/2000 00:50:19,2,6
2007_01_NE_NYJ_2,pass short left,01/01/2000 00:51:03,1,9
2007_01_NE_NYJ_2,run right tackle,01/01/2000 00:51:29,2,6
2007_01_NE_NYJ_2,run,01/01/2000 00:52:27,3,1
2007_01_NE_NYJ_2,pass short middle,01/01/2000 00:53:09,1,10
2007_01_NE_NYJ_2,run right tackle,01/01/2000 00:53:45,1,13
2007_01_NE_NYJ_2,pass short middle,01/01/2000 00:54:39,1,18
2007_01_NE_NYJ_2,run,01/01/2000 00:55:15,2,2